RDA Element,MODS/MADS Syntax,Notes on Mapping
IDENTIFYING MANIFESTATIONS AND ITEMS ,,
Title,titleInfo/title,
Title proper,titleInfo/title,
Parallel title proper,titleInfo/title/@lang='[appropriate iso639-2b code]',
Other title information,titleInfo/subTitle,
Parallel other title information,titleInfo/subTitle/@lang='[appropriate iso639-2b code]',
Variant title,titleInfo/title/@type='alternative',
Earlier title proper,titleInfo/title/@type='alternative',
Later title proper,titleInfo/title/@type='alternative',
Key title,titleInfo/title/@type='alternative'/@displayLabel='keyTitle',
Abbreviated title,titleInfo/title/@type='abbreviated',
Statement of responsibility,note/@type='statement of responsibility',
Statement of responsibility relating to title proper,note/@type='statement of responsibility',
Parallel statement of responsibility relating to title proper,note/@lang='[appropriate iso639-2b code]'/@type='statement of responsibility',Could use the xml:lang attribute instead of the lang attribute.
Edition statement,originInfo/edition,
Designation of edition,originInfo/edition,
Parallel designation of edition,originInfo/edition/@lang='[appropriate iso639-2b code]',Could use the xml:lang attribute instead of the lang attribute.
Statement of responsibility relating to the edition,note/@type='edition statement of responsibility',
Parallel statement of responsibility relating to the edition,note/@lang='[appropriate iso639-2b code]'/@type='edition statement of responsibility',Could use the xml:lang attribute instead of the lang attribute.
Designation of a named revision of an edition,originInfo/edition,
Parallel designation of  a named revision of an edition,originInfo/edition/@lang='[appropriate iso639-2b code]',Could use the xml:lang attribute instead of the lang attribute.
Statement of responsibility relating to a named revision of an edition,note/@type='revised edition statement of responsibility',
Parallel statement of responsibility relating to a named revision of an edition,note/@lang='[appropriate iso639-2b code]'/@type='revised edition statement of responsibility',Could use the xml:lang attribute instead of the lang attribute.
Numbering of serials,note/@type='numbering of serials',"If the data entered is in a structured, numeric, or parseable form, MODS <part> could be used instead."
Numeric and/or alphabetic designation of first issue or part of sequence,note/@type='numbering of serials',"If the data entered is in a structured, numeric, or parseable form, MODS <part> could be used instead."
Chronological designation of first issue or part of sequence,note/@type='numbering of serials',
Numeric and/or alphabetic designation of last issue or part of sequence,note/@type='numbering of serials',"If the data entered is in a structured, numeric, or parseable form, MODS <part> could be used instead."
Chronological designation of last issue or part of sequence,note/@type='numbering of serials',
Alternative numeric and/or alphabetic designation of first issue or part of sequence,note/@type='numbering of serials',"If the data entered is in a structured, numeric, or parseable form, MODS <part> could be used instead."
Alternative chronological designation of first issue or part of sequence,note/@type='numbering of serials',
